S38593,Thunderstorm under Milky Way,No,2018-10-18,11:48:11
OM31856,Earthshine,No,2018-10-18,12:10:33
PCA33168,Parade of the Planets,Yes,2018-10-18,12:11:28
Y29307,First Impressions,Yes,2018-10-18,12:13:45
OM31856,Earthshine,No,2018-10-19,09:06:07
A33900,Magic,Yes,2018-10-19,10:06:16
S32688,Kynance Cove by Night,No,2018-10-19,10:07:13
S30588,Holding Due North,No,2018-10-19,10:13:00
S32688,Kynance Cove by Night,No,2018-10-19,11:38:39
A37679,The Green Castle,No,2018-10-19,13:48:59
SN33954,Rigel and the Witch Head Nebula,No,2018-10-19,13:49:32
A30703,Holy Light II,No,2018-10-19,13:54:55
OM31856,Earthshine,No,2018-10-19,16:14:29
A33900,Magic,No,2018-10-19,16:16:02
Y29307,First Impressions,No,2018-10-19,16:16:47
S38593,Thunderstorm under Milky Way,No,2018-10-19,16:17:01
S32219,Midnight Glow over Limfjord,No,2018-10-19,16:17:32
S28872,Entering the Atmosphere,No,2018-10-19,16:17:44
RS36238,Two Comets with the Pleiades,No,2018-10-19,16:21:21
A29192,Aurora Borealis on the Coast of the Barents Sea,No,2018-10-19,16:21:58
A29192,Aurora Borealis on the Coast of the Barents Sea,No,2018-10-19,16:22:12
A37679,The Green Castle,No,2018-10-19,16:22:26
PS38743,Living Space,No,2018-10-19,16:22:40
OM31856,Earthshine,No,2018-10-19,16:23:28
PS36121,Deep Space,No,2018-10-19,16:23:42
S30334,Cave Man,No,2018-10-19,16:23:50
PCA33168,Parade of the Planets,No,2018-10-19,16:24:15
RS36238,Two Comets with the Pleiades,No,2018-10-19,16:24:37
PCA33168,Parade of the Planets,No,2018-10-19,16:25:35
OM31856,Earthshine,No,2018-10-19,16:37:59
RS36238,Two Comets with the Pleiades,No,2018-10-19,16:38:57
SN33954,Rigel and the Witch Head Nebula,No,2018-10-19,16:39:13
S30588,Holding Due North,No,2018-10-19,16:39:24
S28872,Entering the Atmosphere,No,2018-10-19,16:39:32
SN34484,Thackeray's Globules in Narrowband Colour,No,2018-10-19,16:39:46
S32688,Kynance Cove by Night,No,2018-10-19,16:40:01
Y29307,First Impressions,No,2018-10-22,09:31:24
A30703,Holy Light II,No,2018-10-22,09:37:51
PS36121,Deep Space,Yes,2018-10-22,09:38:30
S38593,Thunderstorm under Milky Way,No,2018-10-22,09:38:53
A31680,Ice Castle,No,2018-10-22,12:32:46
PCA33168,Parade of the Planets,No,2018-10-22,14:27:40
A30703,Holy Light II,No,2018-10-22,14:28:37
SN30949,Mosaic of the Great Orion and Running Man Nebula,No,2018-10-22,14:28:53
